Datum,Flohmarkt/Verkaufsoffener Sonntag
2013-03-03,offen
2013-10-06,offen
2013-11-03,offen
2014-03-30,offen
2014-06-01,offen
2014-09-07,offen
2014-10-05,offen
2014-11-02,offen
2015-02-06,offen
2015-03-08,offen
2015-06-21,offen
2015-11-08,offen
2016-01-03,offen
2017-06-11,offen
2017-07-16,offen
2017-10-01,offen
2017-11-05,offen
2018-10-07,offen
2019-03-03,offen
2019-04-28,offen
2019-08-18,offen
2019-10-03,offen
2019-11-03,offen
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
